network_load,relay_reputation,budget_utilization,recent_win_rate,prob_p_win,explanation
0.1,0.4,0.05,0.0,0.009978099900219,"{'timestamp': 1760866780.1659882, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': 1e-09}, 'base_prob': 0.01, 'final_prob': np.float64(0.009978099900219), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': 1e-09, 'effect': 'multiply prob by 1.000 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.05,0.05,0.004989050000000001,"{'timestamp': 1760866780.1660223, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': np.float64(0.05)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004989050000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.05,0.1,0.004989050000000001,"{'timestamp': 1760866780.1660516, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': np.float64(0.1)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004989050000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.05,0.15,0.004989050000000001,"{'timestamp': 1760866780.1660786, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': np.float64(0.15)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004989050000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.15), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.05,0.2,0.004989050000000001,"{'timestamp': 1760866780.166145, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': np.float64(0.2)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004989050000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.2), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.05,0.25,0.004989050000000001,"{'timestamp': 1760866780.16627, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': np.float64(0.25)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004989050000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.25), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.05,0.3,0.004989050000000001,"{'timestamp': 1760866780.166311, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.05), 'recent_win_rate': np.float64(0.3)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004989050000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.965 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.3), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.16,0.0,0.009181919908180802,"{'timestamp': 1760866780.1663482, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': 1e-09}, 'base_prob': 0.01, 'final_prob': np.float64(0.009181919908180802), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': 1e-09, 'effect': 'multiply prob by 1.000 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.16,0.05,0.004590960000000001,"{'timestamp': 1760866780.166375, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': np.float64(0.05)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004590960000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.05), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
0.1,0.4,0.16,0.1,0.004590960000000001,"{'timestamp': 1760866780.1664014, 'inputs': {'network_load': np.float64(0.1), 'relay_reputation': np.float64(0.4), 'budget_utilization': np.float64(0.16), 'recent_win_rate': np.float64(0.1)}, 'base_prob': 0.01, 'final_prob': np.float64(0.004590960000000001), 'steps': [{'feature': 'network_load', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.940 (higher load -> lower prob)'}, {'feature': 'relay_reputation', 'value': np.float64(0.4), 'effect': 'multiply prob by 1.100 (higher rep -> higher prob)'}, {'feature': 'budget_utilization', 'value': np.float64(0.16), 'effect': 'multiply prob by 0.888 (higher utilization -> lower prob)'}, {'feature': 'recent_win_rate', 'value': np.float64(0.1), 'effect': 'multiply prob by 0.500 (higher recent wins -> lower prob)'}]}"
